id,name,display_name,stage_id,stage_name,sub_stage_id,task_unit_id,task_unit_name,task_material_category_id,task_material_category_name
8031,Acrylic shower tray (~1-2m2),Supply & Install Acrylic shower tray (~1-2m2),472,Plumbed appliances,1739,1,nr,418,Acrylic shower tray (~1-2m2)
9874,Shower tray and waste,Supply & Install Shower tray and waste,472,Plumbed appliances,1739,1,nr,1705,Shower tray and waste
9415,Shower tray feet,Supply & Install Shower tray feet,472,Plumbed appliances,1739,1,nr,204,Shower tray feet
7961,Stone resin shower tray,Supply & Install Stone resin shower tray,472,Plumbed appliances,1739,1,nr,388,Stone resin shower tray
8321,Wet room shower tray (~1-2m2),Supply & Install Wet room shower tray (~1-2m2),472,Plumbed appliances,1739,1,nr,400,Wet room shower tray (~1-2m2)
10351,Allowance for BWIC / Builders Work in Connection with services for sprinkler system to each room,Supply & Install Allowance for BWIC / Builders Work in Connection with services for sprinkler system to each room,472,Plumbed appliances,2004,1,nr,1434,BWIC with services / Builders Work in Connection with services
9157,Sprinkler system,Supply & Install Sprinkler system,472,Plumbed appliances,2004,35,item,246,Sprinkler system
8650,Shower enclosure,Supply & Install Shower enclosure,472,Plumbed appliances,1881,1,nr,342,Rectangular shower enclosure
8084,Shower screen,Supply & Install Shower screen,472,Plumbed appliances,1881,1,nr,203,Shower screen
9653,Access panel for bath side panel,Supply & Install Access panel for bath side panel,472,Plumbed appliances,1649,1,nr,1579,Access panel for bath side panel
8503,Back to wall toilet / close coupled toilet,Supply & Install Back to wall toilet / close coupled toilet,472,Plumbed appliances,1651,1,nr,46,Close coupled toilet
8045,Bath,Supply & Install Bath,472,Plumbed appliances,1649,1,nr,17,Bath
8499,Bath filler,Supply & Install Bath filler,472,Plumbed appliances,1649,1,nr,903,Bath filler
9427,Bath leg set,Supply & Install Bath leg set,472,Plumbed appliances,1649,1,nr,1461,Bath leg set
9660,Bath panel frame kit,Supply & Install Bath panel frame kit,472,Plumbed appliances,1649,1,nr,1585,Bath panel frame kit
9428,Bath side panel / bath panel,Supply & Install Bath side panel / bath panel,472,Plumbed appliances,1649,1,nr,1462,Bath side panel
8493,Bath tap,Supply & Install Bath tap,472,Plumbed appliances,1763,1,nr,18,Bath tap
